Day,tAM,rhAM,cAM,wAM,tPM,rhPM,cPM,wPM,Rain,MSLP,tMin,tMax,dAM,dPM
58,15.4,53,0,7,23.1,45,0,6,0.6,1005.4,12.4,23.7,NE,N
59,6.9,100,0,9,19.5,46.5,0,7.560906516,18.6,1014.65,6.7,20.45,W,N
60,6,90,0,7,17.7,47.25,0,7.560906516,8.6,1019.275,2.5,18.825,NW,N
61,9,83,0,4,15.9,48,0,6,0,1023.9,4.6,17.2,WNW,W
62,15.6,52,0,4,20.6,33,0,6,0.2,1023.1,8.6,21.5,NNW,NE
63,19,46,0,9,23.8,39,0,11,0,1020.6,12.8,24.8,ENE,N
64,19.1,52,0,20,15.2,97,0,11,0,1017.4,18.5,21.7,N,NNE
65,9.8,100,0,6,15.3,67,0,13,34.4,1024.4,8.8,15.9,SE,SE
66,15.7,90,0,9,21.1,63,0,4,0,1016.7,9.5,22.1,E,SW
67,18.1,75,0,9,21.9,63,0,7,0,1005.9,15,22.8,NNE,NNE
68,9,100,0,7,12.5,83,0,6,8.4,1008.9,8.9,12.6,SE,ESE
69,9.6,82,0,9,11.5,68,0,6,0,1011.7,6.9,13.3,SE,SE
70,11.4,67,0,7,16.5,49,0,6,0,1011.1,6,17.1,E,WSW
71,9.1,100,0,2,8.6,100,0,4,8.4,1008.6,8.7,10.4,SSW,S
72,8.3,96,0,4,11.7,65,0,9,8.8,1005,4.8,13.4,SSE,SE
73,7.6,100,0,19,9.4,100,0,20,3,995.7,6.4,9.6,E,ESE
74,7.5,100,0,6,9.3,86,0,11,16,1004.5,6.7,10.4,SE,WSW
75,8.5,82,0,9,9.2,80,0,7,8.2,1000.3,3.3,10,NW,W
76,5.3,100,0,4,7.5,90,0,6,15.2,1009.8,3.5,9,W,WSW
77,6.6,96,0,2,9.7,76,0,2,14.8,1019.5,3.9,10.7,W,NW
78,9,75,0,6,17.6,57,0,6,0.2,1020.1,6.5,17.8,SE,S
79,16.3,45,0,15,19.1,50,0,22,0.2,1007.9,9.1,20.5,NNE,NNE
80,11,75,0,6,14.2,61,0,6,0.6,1011.9,8.8,15.8,S,SE
81,11.9,73,0,7,14,54,0,7,0,1014,6.8,14.7,E,SSW
82,8.9,84,0,7,14.6,63,0,7,0,1019.3,6,15.1,SE,SSE
83,13.3,73,0,4,19.8,51,0,6,0,1019.9,7.9,20.9,ESE,SSW
84,16.8,58,0,9,20.1,58,0,7,0.2,1016,12.8,21,N,NNE
85,19.2,74,0,6,22,63,0,4,0.2,1013,14.8,25.2,NNW,SSE
86,12,100,0,6,11.2,100,0,6,2,1011.9,11.6,12.3,SE,SE
87,10.9,100,0,24,14.1,68,0,26,2.6,1016.7,9.4,15.1,ESE,E
88,10.7,77,0,35,15.8,59,0,20,0.2,1021.2,7.4,16.4,E,ENE
89,12.5,59,0,7,19.3,48,0,7,0,1020,6.4,20,E,E
90,16.9,65,0,6,23.4,29,0,6,0,1016.5,9.4,25.3,N,NNW
91,21.6,40,0,4,27,27,0,6,0,1013.7,16.2,27.4,N,NNW
92,22.9,41,0,9,27,39,0,6,0,1013.3,19.4,28.3,NNE,NNW
93,24.2,33,0,7,29.3,34,0,6,1,1012.6,17.6,29.7,N,N
94,12.7,76,0,6,14.8,73,0,7,11.6,1018,7.6,16.5,SW,ESE
95,10.9,75,0,6,14.8,66,0,7,0,1018.4,7.5,15.9,W,W
96,10.4,64,0,9,17.3,56,0,4,0.2,1018.3,5.7,19,ESE,NW
97,17.8,53,0,17,22.5,45,0,7,0,1011.1,9.9,23.8,NNE,NNE
98,11.7,90,0,2,10.1,99,0,7,0,1013.2,11,11.9,WSW,SSE
99,9.5,87,0,7,10.6,70,0,6,0,1016,6.5,14.2,ESE,SSE
100,9.4,100,0,17,10.7,100,0,11,4.4,1016.1,7.7,11.6,ESE,ESE
101,11,83,0,13,14.4,61,0,9,1.8,1015.7,9,15.9,ESE,SE
102,11.2,89,0,19,16.5,61,0,20,0,1016.9,8.7,17.5,E,E
103,15.8,63,0,6,22.9,38,0,6,0,1015.1,8.6,23.7,ENE,N
104,21.3,42,0,7,26.3,31,0,6,0,1012.1,15.3,28.3,N,NNW
105,16.2,72,0,2,22.2,64,0,7,0,1013.4,11.3,22.5,NE,SE
106,13.2,100,0,4,12.5,100,0,6,0,1013.8,12,13.8,W,SW
107,12.1,89,0,9,16.7,45,0,7,0,1016.1,8.9,17.9,SE,SE
108,17.5,49,0,4,25.4,35,0,6,0,1011.2,8.3,26.2,ENE,N
109,25.6,30,0,15,21.9,58,0,13,0,1006.9,17.4,30.1,NNE,SW
110,20.1,67,0,4,14.4,87,0,6,0.2,1001.6,12.3,20.2,NNW,WNW
111,12.1,66,0,9,22.2,43,0,13,8.6,1012.4,5.7,24.8,NW,NW
112,12.7,85,0,6,22.2,48,0,7,0.2,1012.6,10.1,23.4,WNW,W
113,11.3,99,0,4,15.6,74,0,6,2.2,1013.5,10.6,17.4,WSW,SW
114,11.6,75,0,7,17,60,0,6,0.4,1014,7.8,18.3,ESE,SE
115,16,58,0,9,23.6,44,0,4,0,1013.1,9,25.8,ESE,NW
116,12.4,100,0,6,18.5,70,0,7,0.2,1015.4,12.1,20.3,SE,SSE
117,10.7,82,0,6,12.7,77,0,7,0.2,1018.9,9.5,14.5,ESE,SE
118,12.3,75,0,13,17.4,54,0,20,0,1019.1,8.3,18.5,ESE,ESE
119,14,69,0,4,20.6,45,0,7,0,1018.3,7.3,22.1,E,ESE
120,16.1,64,0,2,23.4,49,0,7,0,1016.8,9,24.3,NW,SW
121,21.5,28,0,4,29.9,21,0,6,0,1012.9,9.8,31.3,NNW,W
122,26.4,28,0,7,33.3,17,0,9,0,1010.3,19.6,34.3,N,N
123,27.4,27,0,7,32.5,26,0,6,0,1007.5,23.6,33.9,N,WSW
124,25.4,40,0,7.465714286,28.3,30,0,9,0,1008.1,20.1,29.5,0,SW
125,13.9,77,0,11,18.9,54,0,9,0,1011.8,11.8,19.7,E,SE
126,13.7,97,0,7,21,69,0,7,0.2,1011.4,11.9,23.1,ESE,S
127,18.5,90,0,15,22.3,70,0,15,0.2,1009.3,13.7,24.6,E,E
128,20.8,66,0,7,25.1,50,0,13,0,1008.3,15.5,27.8,E,NE
129,20.1,66,0,7,18.3,93,0,2,0.6,1007.9,17.9,23.4,NNE,NW
130,14.8,100,0,2,14.9,100,0,6,26.2,1012.9,14.4,16.1,SE,SW
131,12.2,100,0,6,21.4,61,0,7,1.6,1015,10.9,22.3,ENE,SW
132,22.1,69,0,6,28.1,41,0,7,0.4,1017.9,12,28.8,E,ESE
133,19.4,60,0,15,24.6,45,0,17,0,1019.8,14.9,25.8,E,ESE
134,18.4,86,0,17,24.7,57,0,13,0,1019.2,14.4,25.6,E,E
135,21.2,67,0,7,27.7,46,0,7,0,1012.3,16.9,29.4,NE,ENE
136,21.7,66,0,6,25.4,53,0,7,0,1003.5,19.5,28.2,N,N
137,15.2,97,0,4,20.6,74,0,6,13.8,1005.5,14.7,21.1,WNW,WSW
138,16.6,75,0,4,27.7,31,0,6,0.2,1007.5,12.4,29.2,ESE,NNE
139,14.2,100,0,4,19.1,66,0,6,0.8,1010.7,14.1,21.4,SW,SSW
140,13.4,76,0,9,16.3,63,0,11,0,1015.7,11.2,18.7,ESE,ESE
141,16.5,73,0,22,20.2,57,0,24,0,1021.8,11,21.4,E,E
142,16.8,56,0,9,24.1,41,0,11,0,1025.8,11.2,24.9,E,E
143,19.4,55,0,7,26.8,36,0,13,0,1025.1,15.4,27.4,N,E
144,20.4,53,0,9,28.1,35,0,11,0,1019.9,18.2,28.8,NNW,E
145,23.3,45,0,4,29.6,34,0,7,0,1014.1,19.3,30.5,NW,SE
146,23.8,47,0,6,30.2,33,0,6,0,1009.2,20.7,31.6,N,SW
147,24.9,48,0,6,30.6,36,0,7,0,1008.2,21.1,31.6,NW,S
148,24.3,53,0,6,30.8,33,0,6,0,1008.8,18.2,33,NNW,N
149,17.8,96,0,11,25.6,64,0,13,0,1008.4,17.4,27.6,ENE,NE
150,24.4,69,0,7,19.4,94,0,11,0,1011.1,17.6,30.4,N,S
151,14.7,100,0,9,17.3,89,0,7,45,1016.5,14.2,18.6,ESE,SSE
152,18.5,100,0,2,25.1,66,0,4,0.2,1013,14.5,27.3,ENE,SSW
153,20.9,84,0,4,27.4,54,0,2,0.2,1006.1,16.6,29.9,NNW,N
154,16.2,98,0,6,18.7,66,0,6,0,1002.8,16.1,20.2,W,WNW
155,12,69,0,7,14.8,50,0,6,1,1010.6,9.3,16.3,S,SSW
156,14.4,63.5,0,7.465714286,14,67,0,6,0,1014.6,8.7,19.8,0,S
157,15.6,60.75,0,7.465714286,19.1,49,0,13,0,1019.3,10.25,21.55,0,SE
158,16.8,58,0,6,20.8,51,0,9,0,1020.6,11.8,23.3,ENE,E
159,18.1,55,0,7,21.7,44,0,9,0,1023.7,13.2,24,E,SSE
160,19.6,56,0,6,23.2,37,0,11,0,1020.8,13.7,24.6,E,SE
161,18.9,54,0,6,24.4,39,0,4,0,1012.6,14.4,26,N,WNW
162,19.6,45,0,6,24.6,41,0,6,0,1008.2,17.9,26.2,N,N
163,14.8,91,0,2,19.9,56,0,6,0.2,1015.2,14,20.9,SSE,SSW
164,14.2,74,0,11,17.8,53,0,9,0,1019.9,11,18.8,ESE,SE
165,16.8,67,0,9,23.4,56,0,7,0,1017.5,11.5,24.3,E,SE
166,19.7,56,0,15,26.2,40,0,11,0,1016,15.4,27,N,N
167,24.1,38,0,11,29.3,41,0,6,0,1020.1,18,31.3,NNE,WSW
168,13.9,100,0,4,23,56,0,6,0,1022.2,13.5,23.6,SSE,SSW
169,18.4,81,0,4,23.8,57,0,6,0,1012.6,12.5,25.9,WNW,SW
170,12.8,100,0,6,21.1,48,0,7,2,1011.1,12.7,21.4,WSW,WSW
171,12,94,0,2,14.2,72,0,7,0.6,1016.3,10.6,17.2,NNW,W
172,12.8,69,0,9,21.8,45,0,6,1.2,1017,9.5,22.8,ESE,SE
173,17.6,71,0,7,21.4,53,0,7,0.2,1004.2,11.3,25,NNW,SSW
174,11.2,84,0,4,15.8,58,0,6,6.4,1012.4,9.6,18.1,SW,S
175,12.7,72,0,13,23.4,37,0,6,0,1015.5,9.6,25,ESE,N
176,22.4,56,0,11,28.7,34,0,7,0,1016.6,12.4,30.5,NNE,ENE
177,17.9,100,0,4,21.6,73,0,7,0,1018,16.9,23.4,WNW,SSE
178,13.5,97,0,6,21.1,58,0,6,0,1017.8,12.6,22.1,SE,SE
179,16.3,95,0,15,23.3,56,0,11,0,1015.9,13.4,24.9,E,ESE
180,15,100,0,4,23.5,56,0,2,0,1013.4,13.6,24.3,NE,SE
181,16.6,100,0,2,22.4,65,0,6,0,1012.6,14.9,24.5,NNW,SE
182,17.2,100,0,6,21.8,78,0,2,0.4,1011.6,16.3,22.1,ENE,ENE
183,19.5,81,0,7,24.2,53,0,7,10.6,1012.8,16.8,26.3,ENE,NE
184,20.9,59,0,7,26.4,37,0,7,0.2,1013.5,16.4,27.9,ENE,ENE
185,23,57,0,6,27.4,41,0,6,0,1011.2,18.4,28.1,NNE,NW
186,14.9,100,0,7,16.1,100,0,6,49.4,1007.9,14.7,18.1,E,ESE
187,13.4,100,0,6,16.5,83,0,26,19.4,1015.8,12.8,17.4,NNW,E
188,15.6,87,0,4,22.8,57,0,6,1,1013,12,23.4,NNE,SW
189,12.2,100,0,13,16.3,68,0,13,7.4,1017.1,11,17.6,ESE,ESE
190,12.7,80,0,19,16.6,50,0,15,0.4,1019.1,10.8,18.2,ESE,SE
191,12.4,77,0,11,15.8,55,0,6,0,1019.9,9.1,18.2,ESE,SW
192,13.5,80,0,6,15.8,67,0,4,0,1019.5,9.4,18,SSE,ENE
193,12.9,85,0,7,19.4,61,0,4,0.2,1020.9,9.3,21.2,E,SSE
194,19.2,61,0,11,24.2,48,0,9,0,1020,12.4,26.1,NE,N
195,20.2,56,0,2,24.6,50,0,6,0,1020.1,17.3,25.9,N,SE
196,19.8,58,0,4,22.6,53,0,2,0,1019,15.2,24.3,N,N
197,16.2,85,0,7,17.8,65,0,11,0.8,1016.9,16,20.4,N,NE
198,20.3,61,0,6,23.6,59,0,7,0.2,1014.5,16,25.6,N,NNW
199,14.9,100,0,7,16.9,78,0,9,0,1020.7,14.4,18.3,ESE,ESE
200,15.7,77,0,7,25.2,50,0,7,0,1017.9,11.9,26.2,E,NE
201,19.9,63,0,6,24.6,45,0,4,0,1016.7,15.7,25.7,E,WSW
202,16.1,100,0,7.465714286,26.3,43,0,4,0,1014,12.7,26.7,0,ENE
203,19.1,65,0,4,15.7,91,0,7,0.2,1008.8,13.7,23.7,NW,SSW
204,11.8,93,0,2,12.9,82,0,9,4.8,1014.8,9.2,15.8,SW,SSW
205,11.2,73,0,6,16.7,50,0,7,0,1016.1,9.2,17.8,E,SE
206,12.3,88,0,9,16.8,62,0,9,0.2,1021,9.4,18.1,ESE,ESE
207,13.6,82,0,4,22,54,0,4,0.4,1020.6,8.5,22.5,NW,NE
208,17.9,60,0,6,23.4,42,0,6,0,1016.9,13.5,24.4,N,WNW
209,20,48,0,4,20,51,0,6,0,1014.8,17.5,22.2,NNW,S
210,12.8,96,0,7,16.8,72,0,7,0,1014.5,12.4,18.5,E,S
211,10.7,86,0,4,14.9,61,0,9,0.2,1015.9,10.1,17.4,E,ESE
212,11.4,100,0,13,16.2,61,0,15,0.6,1023.4,9.1,16.5,ESE,E
213,9,97,0,17,13.9,65,0,15,0.2,1025.7,8.5,15.5,ESE,SE
214,10.3,100,0,11,11.9,100,0,15,0.8,1019.8,8.6,12.2,ESE,ESE
215,11.7,100,0,4,12.9,100,0,6,15.6,1013.5,9.9,14,ESE,SW
216,11.8,100,0,4,13.1,94,0,7.560906516,13.8,1014.5,11.2,13.8,W,0
217,12.9,89,0,2,15.4,59,0,6,0.2,1017.3,10.3,16.9,W,SSE
218,12.2,100,0,11,18.2,68,0,9,0,1018.7,11.4,18.6,E,ESE
219,14.3,86,0,19,17.6,73,0,11,0.2,1022.6,10.5,19.5,E,ESE
220,15.8,71,0,9,19.1,60,0,6,0,1022.2,11,20.3,ENE,NE
221,18.7,67,0,9,19.1,66,0,13,0,1020.1,14.6,21.2,NE,NE
222,17.9,73,0,7,21.5,53,0,9,0,1017.4,15.3,22.4,N,NW
223,10,100,0,7,13.2,60,0,4,3,1021.4,9.9,14.1,SSE,E
224,10.4,88,0,9,12.2,68,0,6,0.4,1022.7,8.1,13.5,ESE,SSE
225,13.2,75,0,9,16.6,63,0,9,0,1023.7,8.8,17.2,SE,SE
226,15.7,60,0,7,19.8,48,0,4,0,1023.6,10.7,20.9,N,NW
227,17.4,58,0,6,20.9,51,0,6,0.2,1020.4,15,21.2,NNW,N
228,18.6,57,0,6,22.1,43,0,6,0,1019,14.4,23,N,NNE
229,18.4,47,0,13,22.9,36,0,11,0,1012.2,16.5,23.5,NNE,N
230,14.2,100,0,7,13.9,93,0,7,19,1014.9,13.4,14.3,N,N
231,12,100,0,4,11.1,100,0,7,15.8,1011,11.5,13,NE,SW
232,9.3,100,0,6,13.8,83,0,4,15.4,1017,6.4,15,NW,WNW
233,9.9,97,0,6,11.5,69,0,9,4.2,1026.6,8.3,11.9,ESE,ESE
234,10.2,60,0,13,13.4,58,0,7,0.4,1030,7.2,13.7,E,ESE
235,12.5,76,0,2,15.4,67,0,4,0,1031,6.6,16.2,WNW,SSW
236,9.9,100,0,7,13.5,76,0,4,0.2,1030.5,8.5,15.7,E,SE
237,15.6,67,0,4,18.6,49,0,6,0,1025.6,9.1,19.5,E,ENE
238,17.8,56,0,4,18.1,61,0,2,0.2,1019.2,12,19.1,ENE,E
239,15.8,68,0,2,16.8,66,0,6,0,1015.4,13.3,18.2,E,E
240,15.4,89,0,6,16.6,77,0,7,0,1015,13.9,17.7,NE,NNW
241,16.8,73,0,13,17.1,76,0,13,0,1015.1,14.4,17.7,N,NNW
242,9.4,96,0,4,11.8,67,0,4,47.2,1018.1,7.8,12.5,WNW,WSW
243,10.9,78,0,9,13.4,76,0,7,0.2,1021.2,8.1,15,NW,NNW
244,12.7,81,0,4,16.5,62,0,6,0,1021.3,10.7,17.2,WNW,NW
245,12.6,70,0,7,15.7,60,0,9,0,1014.9,10.9,15.9,N,N
246,11,88,0,4,11,85,0,7.560906516,0,1013.4,10.1,11.3,W,0
247,6.4,91,0,4,10.4,70,0,4,6.8,1015.4,3.1,10.8,NW,WSW
248,7.3,76,0,6,9.3,63,0,7,0.6,1014.6,3.3,10.4,NNW,NNW
249,5.7,100,0,9,8.7,100,0,4,4,1017.2,5.3,9.1,WNW,W
250,8.1,100,0,4,9.1,100,0,4,5.4,1026,5.6,10.8,NW,SW
251,10.7,92,0,6,11.3,77,0,4,2.6,1028.7,6.4,13.7,SE,E
252,13.5,63,0,4,15.6,61,0,6,0,1029.1,7.7,16.1,ESE,ESE
253,14.9,67,0,2,16.6,64,0,7.560906516,0.2,1024.7,12.1,17.2,E,0
254,13.9,73,0,13,16.1,67,0,7.560906516,0,1016.8,12.6,17.1,E,0
255,13.8,100,0,7.465714286,14.9,99,0,4,0,1014.8,11.9,16.2,0,SW
256,13.4,100,0,6,13.2,90,0,15,1.6,1010.7,13.4,13.7,N,NNE
257,13.6,85,0,9,15.3,64,0,9,2.2,1009,11.3,16.4,NNW,NNW
258,10.1,87,0,7,9.4,100,0,2,1.6,1012,8,11.6,NW,NW
259,6.8,88,0,7,9.2,74,0,9,8.2,1017,4.1,10.4,NW,NW
260,6.6,100,0,6,8.3,80,0,7,2,1020.5,6.3,10.8,NW,W
261,7.5,100,0,2,8.9,89,0,2,2.8,1029.4,5.6,10.2,NW,SW
262,8.6,78,0,7,10.3,69,0,6,0.4,1032.9,7,12.2,E,SE
263,12.1,62,0,7.465714286,12.8,64,0,4,0.2,1032.2,5.3,13.9,0,ESE
264,6.2,100,0,2,10.2,80,0,6,0,1029,4.2,12.7,NNW,ESE
265,12.7,56,0,6,15.6,53,0,2,0.4,1028.6,4.9,16.3,NW,NW
266,13.8,54,0,4,14.7,55,0,7,0,1025.6,10.1,15.7,NW,E
267,12,56,0,11,14,60,0,11,0,1020.5,10.1,14.8,NE,ENE
268,11.4,94,0,11,11.3,100,0,6,0.8,1016.1,10.9,12.1,N,N
269,9.1,100,0,7.465714286,12,87,0,7.560906516,6.8,1016.8,8.8,13.1,0,0
270,7.5,100,0,4,9.3,72,0,2,0.2,1012.7,7.2,10.3,WSW,SW
271,8.5,70,0,4,9.4,80,0,6,0,1006.5,5.7,12.4,NW,N
272,7.3,78,0,15,6.3,93,0,13,0.2,988.2,5.7,8.9,NE,E
273,4.7,100,0,4,4.7,86,0,7,12.2,995.6,4.1,5.4,NW,WNW
274,5,100,0,6,7.9,100,0,7,11.4,1012.6,1.8,8.1,W,W
275,5.4,91,0,9,7.4,72,0,4,21.6,1019,2.5,8,NW,NNW
276,5.3,81,0,9,7.1,69,0,7,0,1010,4.3,7.6,N,N
277,7.1,90,0,9,8.4,84,0,9,1.8,1006.3,5.3,9.1,NNW,N
278,6.8,93,0,11,6.4,93,0,9,1.6,997.4,6.6,8.6,NW,NNW
279,4.9,100,0,4,5,96,0,4,12.8,1005,3.6,8.4,NW,W
280,3.7,100,0,6,5.3,90,0,7,12.8,1010.7,2.5,6.5,WNW,W
281,4.9,100,0,6,6.2,100,0,6,20.2,1017.2,2.9,6.7,W,W
282,5.8,100,0,6,7.1,100,0,6,7.4,1015.2,4.8,7.8,WNW,W
283,6.9,100,0,6,7.4,100,0,9,11.6,1017.4,5.8,8.1,WNW,W
284,5.3,100,0,6,7.6,94,0,6,9.8,1016.4,4.7,7.7,WNW,W
285,6.9,100,0,6,7.5,100,0,11,9.8,1017.5,5.2,8.1,W,WSW
286,6.1,100,0,7.465714286,8,92,0,7.560906516,9.2,1022.4,5.6,8.2,0,0
287,6.8,72,0,9,7.8,77,0,7,0,1018.8,4.6,8.7,N,N
288,7.8,76,0,19,8,83,0,9,0.2,1012,6.1,9.2,N,N
289,8.9,100,0,2,9.8,100,0,6,15.2,1016.8,7.3,10.3,NW,WSW
290,8,100,0,7.465714286,9.1,97,0,2,15,1023.6,6.8,10.3,0,S
291,8.2,100,0,7.465714286,10.7,88,0,7.560906516,0.6,1027,6,11.3,0,0
292,10,67,0,6,10.8,72,0,4,0.4,1025.1,5.7,11.6,ENE,NNE
293,10.7,65,0,7,13,67,0,13,0,1017.7,8.7,13.4,NNW,NNE
294,8,100,0,4,9.9,78,0,4,17,1019.2,7.5,10.3,W,WSW
295,7.5,100,0,7,9.5,94,0,6,2.8,1024,5,9.9,NW,NW
296,9.5,99,0,9,10.9,81,0,9,1.6,1018.2,7.5,11.4,NW,NNW
297,8.4,100,0,4,9.4,98,0,7.560906516,8,1015.7,8.3,10.1,WNW,0
298,7.1,91,0,6,11.2,70,0,7,3.8,1019.5,5.9,11.4,NW,NNW
299,7.1,99,0,6,7.1,95,0,4,0.4,1023.6,6.7,7.8,W,W
300,5.3,100,0,7.465714286,6.8,98,0,2,19.2,1032.3,4.2,7.3,0,SSW
301,5,91,0,7.465714286,9.5,63,0,6,1,1028.2,3.9,9.9,0,N
302,7.3,62,0,9,7.3,63,0,11,0.2,1021.1,4.8,7.7,N,NNW
303,6.8,89,0,7,8.5,81,0,4,0,1024.8,4.7,11.7,WNW,SE
304,6.9,100,0,6,8.5,93,0,4,0,1029.5,4.8,9.5,ESE,E
305,6.2,100,0,9,7.8,84,0,7,0.2,1028.5,5.1,8.7,ESE,ESE
306,5.4,81,0,17,7.3,81,0,11,0,1026.3,4,8.4,ESE,ESE
307,6.3,79,0,15,8.6,71,0,9,0,1026.5,3.5,8.8,ESE,ESE
308,7.3,100,0,13,9.7,71,0,13,0.4,1024.4,6.3,10.1,ESE,ESE
309,9.5,55,0,4,12.3,52,0,4,0,1020.5,4.5,12.9,NNW,NW
310,5.7,100,0,4,7.6,89,0,4,0.4,1016.2,4.6,8.7,WSW,W
311,6,100,0,7,7.2,100,0,9,16.6,1014.5,5.6,7.5,W,WSW
312,5.8,100,0,4,7.8,90,0,4,11.6,1022.8,5.1,8.4,SW,SE
313,6.9,100,0,11,11.1,59,0,6,1.4,1026,5.2,11.8,E,NE
314,7.2,68,0,6,9.7,62,0,7,0,1021,6.5,10.1,N,NNW
315,5.6,98,0,4,6.7,100,0,7.560906516,0,1015.6,5.3,6.8,WNW,0
316,5.4,100,0,4,6.9,87,0,6,8,1020.1,4.1,8.9,WSW,SSW
317,5.7,82,0,2,7.2,88,0,7.560906516,5.8,1027.5,3.9,8.2,SSE,0
318,6.5,96,0,2,9.2,71,0,4,0,1025.4,4.3,9.8,W,NNW
319,5.8,78,0,15,8,68,0,17,0,1012.7,5.5,8.8,N,NNE
